Author	All	Since 2014	LC	User
Hui Xuan Tan	16	16	No	-CgO9C4AAAAJ
P. Clara Jeyaseeli	0	0	No	alvwNRoAAAAJ
P. Baskaran	0	0	No	BgM48ZQAAAAJ
David Sánchez-Cruxeiras	0	0	No	gfVV8-sAAAAJ
Abdalsamad Keramatfar	6	6	No	GvqiNoQAAAAJ
Patricia Lorenzo Bartolomé	0	0	No	HL0LRnMAAAAJ
Angamuthu.m	0	0	No	irbQZ4kAAAAJ
AK Anjana	3	3	No	iS8tm38AAAAJ
Magdalena Bemke-Świtilnik	8	8	Yes	mfKSTWsAAAAJ
Ashraf Maleki	21	21	No	palbpxIAAAAJ
Rouhallah Khademi	81	81	No	pUgDOmUAAAAJ
Saeed Roshani	15	15	No	Q46atc0AAAAJ
Alberto Ramos-Alonso	4	4	No	CVN6mUAAAAJ
Vaishali Khaparde	0	0	Yes	XPWareQAAAAJ
Jeyashree S	8	8	No	zzGa2LIAAAAJ
