author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Ciriaco Andrea D'Angelo	D'Angelo, C. Andrea	1	1	1	1	np-dangelo,%20c%20andrea	Web	TRUE
Ciriaco Andrea D'Angelo	D'Angelo, Andrea Ciriaco	1	1	1	1	np-dangelo,%20andrea%20ciriaco	Web	TRUE
Ciriaco Andrea D'Angelo	d'angelo, ciriaco	2	2	1	2	np-dangelo,%20ciriaco	Web	TRUE
Serhiy Shtovba	NA	NA	NA	NA	NA	NA	NA	NA
Jason Priem	NA	NA	NA	NA	NA	NA	NA	NA
Mario Coccia	Coccia, Mario	64	105	2	98	viaf-88137886	API	TRUE
Mario Coccia	Mario Coccia	1	1	1	1	np-mario%20coccia	Web	TRUE
Samuel C Bradford	Bradford, S. C. 1878-1948	48	139	6	713	lccn-nr92032574	API	TRUE
Samuel C Bradford	Bradford, S.C. (Samuel Clement) 1938, 1948 fl	1	2	1	10	viaf-5578155648130618330004	Web	TRUE
Cassidy R. Sugimoto	Sugimoto, Cassidy R.	10	87	2	2.300	lccn-no2011051642	API	TRUE
Cassidy R. Sugimoto	Sugimoto , C. R.	1	1	1	1	np-sugimoto,%20c%20r	Web	TRUE
Matthias Weber	Weber, Matthias 	20	61	2	477	lccn-n99022610	Web	TRUE
Matthias Weber	Weber, Matthias	3	3	1	3	viaf-202148996015559752547	Web	TRUE
José Luis Ortega	Ortega, José Luis	33	59	3	1.083	lccn-no2015011726	API	TRUE
José Luis Ortega	Ortega, José Luis	1	5	1	28	viaf-956155284875187062353	Web	TRUE
Suzana Mueller	Mueller, Suzana Pinheiro Machado	21	34	3	49	lccn-no2006017964	Web	TRUE
Suzana Mueller	Mueller, Suzana Machado Pinheiro	2	2	1	2	np-mueller,%20suzana%20machado%20pinheiro	Web	TRUE
Suzana Mueller	Mueller, Suzana	1	1	1	1	np-mueller,%20suzana	API	TRUE
Rodrigo Costas	Costas, Rodrigo	12	14	4	23	viaf-4882155708720222580009	API	TRUE
Rodrigo Costas	Costas, Rodrigo	1	1	1	1	np-costas,%20rodrigo	Web	TRUE
Rodrigo Costas	Costas, R. (Rodrigo) 1977-	3	6	3	13	viaf-289034893	Web	TRUE
Heting Chu	Chu, Heting 1957-	14	56	2	525	lccn-no93022700	API	FALSE
Rigas Arvanitis	Arvanitis, Rigas	42	96	5	608	lccn-n85366088	API	FALSE
Birger Larsen	Larsen, Birger	4	18	1	716	lccn-no2009151196	Web	FALSE
Jan Vlachý	NA	NA	NA	NA	NA	NA	NA	NA
Rafael Ruiz-Perez	Ruiz Pérez, Rafael	35	69	2	157	lccn-n85309836	API	FALSE
Kayvan Kousha	Kousha, Kayvan	3	3	1	3	np-kousha,%20kayvan	API	FALSE
Elias Sanz-Casado	Sanz Casado, Elías	22	29	3	66	np-sanz%20casado,%20elias	API	TRUE
Elias Sanz-Casado	Sanz Casado, Elías	1	8	1	50	viaf-22252756	Web	TRUE
Elias Sanz-Casado	Sanz Casado,Elías	1	1	1	1	np-sanz%20casado,elias	Web	TRUE
Elias Sanz-Casado	Sanz Casado, Elias - Autor/a	1	1	1	1	np-sanz%20casado,%20elias%20autor%20a	Web	TRUE
Elias Sanz-Casado	Sanza Casado, Elías	1	1	1	1	np-sanza%20casado,%20elias	Web	TRUE
Elena Corera-Álvarez	Corera Álvarez, Elena	12	18	1	100	viaf-87442451	API	TRUE
Elena Corera-Álvarez	Corera âAlvarez, Elena	1	1	1	1	np-corera%20aalvarez,%20elena	Web	TRUE
G Steven McMillan	McMillan, G. Steven	3	4	1	4	viaf-195234263	API	FALSE
Werner Marx	Marx, Werner	3	4	1	8	viaf-25515028	Web	FALSE
Guido Van Hooydonk	Hooydonk, E. van	10	29	4	64	lccn-n96110202	Web	FALSE
Jevin D. West	West, Jevin D. (Jevin Darwin) 1977-	4	5	1	7	lccn-no2011071415	Web	TRUE
Jevin D. West	West, Jevin	1	1	0	1	np-west,%20jevin	Web	TRUE
Ping Zhou	Zhou, P. (Ping) 1962-	1	2	1	2	viaf-279948397	Web	FALSE
Ulf Sandström	Sandström, Ulf	13	24	2	221	lccn-n97081292	API	TRUE
Ulf Sandström	Sandström, Ulf 1953-	32	48	2	64	lccn-n00102563	Web	TRUE
Ulf Sandström	Sandström, Ulf	32	36	2	40	np-sandstrom,%20ulf	Web	TRUE
Ulf Sandström	Sandström, Ulf 1953-	3	3	2	3	np-sandstrom,%20ulf$1953	Web	TRUE
Ulf Sandström	Sundström, Ulf	2	2	2	3	np-sundstrom,%20ulf	Web	TRUE
