author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Judit Bar-Ilan	10	8	11	8213	4096	mkb_14UAAAAJ	Yes	Professor	Deceased	Bar-Ilan University	3
Kamal Badar	1	1	1	132	125	EdrXAn4AAAAJ	Yes	Professor	Active	Prince Sultan University	1
Kamal Lochan Jena	7	2	3	177	128	le2B5PUAAAAJ	Yes	Librarian	Active	College of Engineering & Technology, Bhubaneswar	1
Katherine W. McCain	33	9	16	6458	1913	ilq7xBAAAAAJ	Yes	Professor	Emeritus	Drexel University	1
Katy Borner	5084	48	165	9983	5210	YirSp_cAAAAJ	Yes	Professor	Active	Indiana University Bloomington	3
Kayvan Kousha	3	3	3	3189	2471	1qZw1XkAAAAJ	Yes	Professor	Active	University of Wolverhampton	1
Kevin W. Boyack	32	13	14	7107	4202	FUGxcFYAAAAJ	Yes	Researcher	Active	SciTech Strategies	1
Kim Holmberg	1618	13	47	1422	1174	gt_L3DwAAAAJ	Yes	Professor	Active	University of Turku	3
Kim-Leng Goh	186	44	57	745	464	UyX7UsYAAAAJ	Yes	Professor	Active	University of Malaya	2
Koenraad Debackere	1637	105	175	10077	4784	4HghiOEAAAAJ	Yes	Professor	Active	KU Leuven	2
Lea Velho	344	39	60	3352	1334	Nn04VVcAAAAJ	Yes	Professor	Active	  Universidade Estadual de Campinas,	3
Leandro Innocentini Lopes de Faria	2	2	2	732	479	JLLgS5EAAAAJ	Yes	Professor	Active	Universidade Federal de São Carlos 	1
Lennart Björneborn	14	6	11	1998	716	ryfQaSIAAAAJ	Yes	Professor	Active	University of Copenhagen	2
Leslie Adriaanse	1	1	1	152	141	K1vf73MAAAAJ	Yes	Librarian	Active	University of South Africa	1
Li Tang 唐莉	1	1	1	826	699	FIT6asAAAAAJ	Yes	Professor	Active	Fudan University	1
Liney Manjarres-Henríquez	1	1	1	749	500	c4HL8GsAAAAJ	Yes	Professor	Active	Universidad de la Costa 	1
Loet Leydesdorff	1234	65	192	49466	25909	ych9gNYAAAAJ	Yes	Professor	Emeritus	University of Amsterdam	5
Lokman Meho	2421	12	47	4505	2260	OBhOQoYAAAAJ	Yes	Librarian	Active	American University of Beirut	3
Luc Marie Quoniam	907	59	74	1847	1043	e0aJoloAAAAJ	Yes	Researcher	Active	Vlab4u Collaboratory	3
Ludo Waltman	33	26	28	5927	4682	UbPa8qgAAAAJ	Yes	Researcher	Active	Centre for Science and Technology Studies (CWTS)	1
Lutz Bornmann	215	14	28	15545	11087	-XinoL8AAAAJ	Yes	Researcher	Active	Max-Planck-Society	2
Magdalena Bemke-Świtilnik	3	3	3	8	8	mfKSTWsAAAAJ	Yes	Professor	Active	Główny Instytut Górnictwa	1
Magnus Gulbrandsen	439	21	50	4321	2386	OWBAjtUAAAAJ	Yes	Researcher	Active	ingenio csic-upv	5
Maite barrios	82	9	17	2134	1392	dMx3z84AAAAJ	Yes	Professor	Active	University of Barcelona	3
Maja Jokić	131	25	32	392	180	nQ6iBrEAAAAJ	Yes	Researcher	Active	Institute for Social Research in Zagreb	3
Marcia Regina da Silva	13	7	8	1377	779	EwqAdjUAAAAJ	Yes	Professor	Active	Universidade de São Paulo	2
Maria Cassella	54	4	9	423	256	agJK6DIAAAAJ	Yes	Librarian	Active	University of Turin	2
Maria Victoria Guzman Sánchez	90	13	16	4352	2123	V6meT00AAAAJ	Yes	Researcher	Active	Finlay Institute of Vaccines	1
Marianne Gauffriau	4	1	2	272	139	n7CvIkIAAAAJ	Yes	Librarian	Active	Copenhagen University Library	1
Mariano A. Maura	54	6	10	64	23	hb17p14AAAAJ	Yes	Professor	Retired	University of Puerto Rico	2
Marie E McVeigh	1	1	1	905	378	3QW6BeMAAAAJ	Yes	Librarian	Active	Clarivate Analytics	1
Mario Coccia	99	65	106	7144	6298	Lf1kf1QAAAAJ	Yes	Researcher	Active	Italian National Research Council	2
Martin Meyer	123	7	19	7634	3399	FsCwR9kAAAAJ	Yes	Professor	Active	University of Aberdeen	2
Massimo Franceschet	36	10	12	2169	1045	zrFUWLoAAAAJ	Yes	Professor	Active	University of Udine	1
Matthew L. Wallace	3	1	2	568	408	TiCTAagAAAAJ	Yes	Researcher	Active	International Development Research Centre	1
Matthias Weber	480	23	64	2653	1565	toUl8EIAAAAJ	Yes	Researcher	Active	AIT Austrian Institute of Technology	2
Michael E. D. Koenig	2894	38	136	3041	716	_FqjzRwAAAAJ	Yes	Professor	Active	Long Island University	2
Michael J. Moravcsik	2225	59	192	5565	774	1SxjllcAAAAJ	Yes	Professor	Deceased	University of California, University of Oregon	4
Mike Thelwall	1162	50	119	29666	18658	8jCKL1sAAAAJ	Yes	Professor	Active	University of Wolverhampton	4
Mirza Muhammad Naseer	2	1	1	126	97	jqp6orwAAAAJ	Yes	Professor	Active	Imam Abdul Rahman Bin Faisal University	1
Mohammad-Hossein Biglu	28	2	5	426	309	sSDgnesAAAAJ	Yes	Professor	Active	Tabriz University of Medical Sciences	1
