author	author_id	lang	count
Rafael Ruiz-Perez	lccn-n85309836	eng	1
Kayvan Kousha	np-kousha,%20kayvan	eng	3
Elias Sanz-Casado	np-sanz%20casado,%20elias	spa	25
Elias Sanz-Casado	np-sanz%20casado,%20elias	por	1
Elias Sanz-Casado	np-sanz%20casado,%20elias	mul	1
Elias Sanz-Casado	viaf-22252756	spa	8
Elias Sanz-Casado	np-sanz%20casado,elias	spa	1
Elias Sanz-Casado	np-sanz%20casado,%20elias%20autor%20a	spa	1
Elias Sanz-Casado	np-sanza%20casado,%20elias	spa	1
Elena Corera-Álvarez	viaf-87442451	spa	18
Elena Corera-Álvarez	np-corera%20aalvarez,%20elena	spa	1
G Steven McMillan	viaf-195234263	eng	2
Werner Marx	viaf-25515028	ger	4
Guido Van Hooydonk	lccn-n96110202	dut	22
Guido Van Hooydonk	lccn-n96110202	eng	3
Guido Van Hooydonk	lccn-n96110202	ger	1
Guido Van Hooydonk	lccn-n96110202	spa	1
Jevin D. West	lccn-no2011071415	eng	5
Ping Zhou	viaf-279948397	eng	2
Ulf Sandström	lccn-n97081292	eng	14
Ulf Sandström	lccn-n97081292	swe	9
Ulf Sandström	lccn-n00102563	swe	32
Ulf Sandström	lccn-n00102563	eng	4
Ulf Sandström	np-sandstrom,%20ulf	swe	22
Ulf Sandström	np-sandstrom,%20ulf	eng	1
Ulf Sandström	np-sandstrom,%20ulf$1953	swe	2
Ulf Sandström	np-sandstrom,%20ulf$1953	eng	1
Ulf Sandström	np-sundstrom,%20ulf	swe	1
Ulf Sandström	np-sundstrom,%20ulf	eng	1
Ulf Sandström	viaf-188687875	swe	1
Ricardo Arencibia Jorge	np-arencibia%20jorge,%20ricardo	spa	25
Ricardo Arencibia Jorge	np-arencibia,%20ricardo%20jorge	spa	1
Ricardo Arencibia Jorge	np-arencibia,%20jorge%20ricardo	spa	1
Maite barrios	viaf-87749586	spa	14
Maite barrios	viaf-87749586	cat	2
Maite barrios	viaf-87749586	eng	1
RR Braam	lccn-n91097137	dut	14
RR Braam	lccn-n91097137	eng	14
RR Braam	np-braam,%20robert$robert%20rene$1958	dut	1
Emanuela Reale	lccn-n96010881	eng	34
Emanuela Reale	lccn-n96010881	ita	17
Emanuela Reale	np-reale,%20emmanuela	eng	1
Sybille Hinze	lccn-n2008040091	eng	15
Sybille Hinze	lccn-n2008040091	ger	14
Sybille Hinze	np-hinze,%20sybille	ger	13
Sybille Hinze	np-hinze,%20sybille	eng	9
Sybille Hinze	np-hinze,%20sybille	slv	1
Sybille Hinze	viaf-7876149198233874940008	eng	2
Sybille Hinze	lccn-n88128223	ger	35
Sybille Hinze	lccn-n88128223	eng	2
Sybille Hinze	lccn-n88128223	fre	1
Sybille Hinze	np-hinze,%20sybil	eng	1
Sven Hemlin	lccn-n2004000519	eng	72
Sven Hemlin	lccn-n2004000519	swe	7
Sven Hemlin	lccn-n2004000519	hrv	3
Sven Hemlin	lccn-n2004000519	dan	1
Sven Hemlin	viaf-289157799	dut	1
Erjia Yan	lccn-no2015102898	eng	3
Ernesto Spinak	np-spinak,%20ernesto	spa	14
Ernesto Spinak	np-spinak,%20ernesto	eng	2
Ernesto Spinak	np-spinak,%20ernesto	por	1
Ernesto Spinak	np-spinak,%20ernesto$1950	spa	1
Luc Marie Quoniam	lccn-n2011034281	fre	22
Luc Marie Quoniam	lccn-n2011034281	eng	12
Luc Marie Quoniam	lccn-n2011034281	por	1
Antonio Fernández-Cano	lccn-n96027850	spa	29
Antonio Fernández-Cano	lccn-n96027850	eng	1
Philipp Mayr	lccn-n2016185974	ger	19
Philipp Mayr	lccn-n2016185974	eng	17
